"MessageID","Timestamp","Message","Subject","Sender","To","Cc","ThreadID","AttachmentNames"
"msg-00011","2025-05-24T08:37:47Z","Hey - check if carrier accepts FA. Canyon Outfitters GL effective 2026-01-02. Numbers: 100154 prem + 5950 tax + 434 fee + 200 broker = 106738. Down 20%, 9 installments, MEP 25%. Appreciate your help probably","Finance quote - GL Canyon","chris.anderson@ridgebrokers.com","renewals@premfinco.com","service@ridgebrokers.com;operations@ridgebrokers.com;compliance@ridgebrokers.com","thread-00008",""
"msg-00012","2025-05-24T08:51:18Z","Hi team, need to audit credit, need updated FA for Everett Logistics BOP. New figures: 56258 total (53106 + 2957 + 45 + 150). Down 20%, 9 pays, MEP 30%. Need updated FA with new signature blocks. Appreciate it, Elena Garcia","FA revision - BOP Everett","elena.garcia@ridgebrokers.com","desk@premfinco.com","operations@ridgebrokers.com","thread-00009","LossRuns_00012_1.xlsx"
"msg-00013","2025-05-24T12:38:20Z"," The UW said yesterday that Afternoon - renewal for Metro Parcel Systems E&S. Effective 2026-01-23, Granite Harbor. Expiring terms: 15% down, 10 pays. New total 184181 (prem 168379, tax 15041, fees 761). MEP 25%. Need updated FA. Appreciate it","Renewal terms - E&S Metro","maria.santos@ridgebrokers.com","service@premfinco.com","marketing@ridgebrokers.com;service@ridgebrokers.com;operations@ridgebrokers.com","thread-00010","DownPaymentReceipt_00013_1.pdf;Reinstatement_00013_2.docx;Worksheet_00013_3.xlsx"
"msg-00014","2025-05-24T13:22:17Z","Hello, need FA terms on Peak Distribution. PROP policy, eff 2026-03-11, RiverPeak. Premium breakdown: 278388 base, 5569 taxes, 278 carrier fee, 150 broker fee. Total 284385. 10% down = 28438, finance 255947 over 10 pays. MEP 15%. thx!","Finance quote - PROP Peak","li.chen@ridgebrokers.com","ops@premfinco.com;underwriting@premfinco.com","teamlead@ridgebrokers.com","thread-00011","GL_Quote_00014_1.docx;Audit_00014_2.docx"
"msg-00015","2025-05-24T13:54:28Z"," As per our call, Good afternoon, policy rescinded on Horizon Media Group WC. Original total 68597, financed 54878, down 20%. termination effective, RT?. Best regards, Andrew Lang","RT calculation - WC Horizon","andrew.lang@ridgebrokers.com","service@premfinco.com;renewals@premfinco.com","service@ridgebrokers.com","thread-00012","Endorsement_00015_1.xls"
"msg-00016","2025-05-24T14:19:55Z","Hi -, need amort schedule options for Pioneer Transit WC. Effective 2026-03-04 with Trident Commercial. Premium 260248, taxes 24688, fees 275, broker fee 400. Total 285611. Client wants 20% down, 8 pays. MEP 15%. thx, Sophie Miller","Finance options - WC Pioneer","sophie.miller@ridgebrokers.com","service@premfinco.com","accounting@ridgebrokers.com","thread-00012","Audit_00016_1.docx"
"msg-00017","2025-05-24T14:43:01Z","Hey, following up on Frontier Energy Services E&S. FA didn't come through. Effective 2025-11-18, Sable Mutual. Need for underwriting file. thx!, David Nguyen","Missing docs - E&S Frontier","david.nguyen@ridgebrokers.com","renewals@premfinco.com","accounting@ridgebrokers.com;operations@ridgebrokers.com","thread-00012","MEP_Addendum_00017_1.xls;LossRuns_00017_2.xls;CA_Schedule_00017_3.xls"
"msg-00018","2025-05-24T17:38:44Z","Morning - need amort schedule options. Forge Industrial WC effective 2026-01-01. Numbers: 196297 prem + 4105 tax + 42 fee + 300 broker = 200744. Down 35%, 8 installments, MEP 10%. thx!","Finance quote - WC Forge","raj.kumar@ridgebrokers.com","desk@premfinco.com;renewals@premfinco.com","service@ridgebrokers.com;compliance@ridgebrokers.com","thread-00013",""
"msg-00019","2025-05-24T18:25:50Z","Hello, can you check if Copperline Foods GL is financeable? Effective 2026-03-17, carrier Southport Re. Total premium 203185 (prem 197080, tax 5593, fees 512). Looking for 10% down, 8 pays. MEP 25%. Also, quick question - does the FA need wet signatures or can we use DocuSign? Best, Ella Roberts See ca in attachment.","FA quote needed - GL Copperline","ella.roberts@ridgebrokers.com","quotes@premfinco.com;service@premfinco.com","operations@ridgebrokers.com","thread-00014","CA_Schedule_00019_1.pdf"
"msg-00020","2025-05-24T19:58:10Z","Hi there - Prairie Medical Group BOP policy canceled Original FA: 99052 financed, 18% down. Need RT calc. Best","RT calculation - BOP Prairie","taylor.martinez@ridgebrokers.com","quotes@premfinco.com;desk@premfinco.com;ops@premfinco.com","teamlead@ridgebrokers.com;accounting@ridgebrokers.com;service@ridgebrokers.com","thread-00014","TCF_Doc_00020_1.xls;Endorsement_00020_2.pdf"
"msg-00021","2025-05-24T21:43:16Z","Hi PF, check if carrier accepts FA for Silver Thread Textiles GL. Effective 2025-11-06 with Ironcrest Specialty. Premium 278876, taxes 12704, fees 424, broker fee 350. Total 292354. Client wants 35% down, 9 pays. MEP 25%. See attached deck pages. Thanks, David Nguyen","Need FA - GL Silver","david.nguyen@ridgebrokers.com","ops@premfinco.com","operations@ridgebrokers.com","thread-00015","LossRuns_00021_1.pdf"
"msg-00022","2025-05-25T00:24:29Z","Hello team - pls calculate down payment options. Prairie Medical Group BOP effective 2025-10-31. Numbers: 25285 prem + 432 tax + 237 fee + 300 broker = 26254. Down 15%, 7 installments, MEP 10%. Appreciate it","Finance options - BOP Prairie","raj.kumar@ridgebrokers.com","ops@premfinco.com;underwriting@premfinco.com","accounting@ridgebrokers.com;teamlead@ridgebrokers.com;operations@ridgebrokers.com","thread-00015","Audit_00022_1.xlsx;Schedule_00022_2.xls"
"msg-00023","2025-05-25T00:26:42Z","Hi finance team, Horizon Media Group PROP - need financing breakdown. Effective 2026-01-24. Sable Mutual. Total 332564 (327235 + 5023 + 106 + 200). 30% down, 6 pays, MEP 25%. Best regards, Celine Ford","Finance quote - PROP Horizon","celine.ford@ridgebrokers.com","desk@premfinco.com;underwriting@premfinco.com","accounting@ridgebrokers.com","thread-00015",""
"msg-00024","2025-05-25T03:04:33Z"," Replying to your earlier email.  - Northwind Studio BOP audit credit applied. Original FA: 244212 financed, 25% down. Need RT calc. Best regards","Refund calc - BOP Northwind","andrew.lang@ridgebrokers.com","desk@premfinco.com","marketing@ridgebrokers.com","thread-00016","Worksheet_00024_1.xlsx"
"msg-00025","2025-05-25T07:20:01Z","Good morning, is this in market for financing? for Peak Distribution WC. Effective 2025-12-15 with Urban Axis. Premium 228201, taxes 15711, fees 297, broker fee 200. Total 244409. Client wants 18% down, 10 pays. MEP 25%. See attached loss runs. Thanks much, Andrew Lang","Finance quote - WC Peak","andrew.lang@ridgebrokers.com","service@premfinco.com;ops@premfinco.com","compliance@ridgebrokers.com;accounting@ridgebrokers.com;teamlead@ridgebrokers.com","thread-00017","Worksheet_00025_1.xls;Endorsement_00025_2.pdf;Commission_Statement_00025_3.xlsx"
"msg-00026","2025-05-25T08:15:28Z","Hello, Copperline Foods PROP - MEP changed, need revised PFA. Effective 2025-10-25. Revised total 319080 (prem 299229, tax 19241, carrier 410, broker 200). 15% down, 7 installments. MEP 10%. Please revise the finance agreement. Appreciate it","FA amendment - PROP Copperline","sophie.miller@ridgebrokers.com","underwriting@premfinco.com;desk@premfinco.com;service@premfinco.com","marketing@ridgebrokers.com;compliance@ridgebrokers.com","thread-00017",""
"msg-00027","2025-05-25T11:17:49Z","Afternoon Peak Distribution BOP - need terms for this submission. Effective 2026-01-07. Atlantic Specialty. Total 289992 (273786 + 15547 + 409 + 250). 35% down, 10 pays, MEP 30%. Thank you, Sophie Miller","Finance options - BOP Peak","sophie.miller@ridgebrokers.com","ops@premfinco.com;desk@premfinco.com","teamlead@ridgebrokers.com","thread-00018",""
"msg-00028","2025-05-25T11:48:50Z","Hi -, need FA terms on Canyon Outfitters. WC policy, eff 2025-10-06, Granite Harbor. Premium breakdown: 70863 base, 4689 taxes, 406 carrier fee, 250 broker fee. Total 76208. 20% down = 15241, finance 60967 over 11 pays. MEP 35%. Thanks not sure","Need FA - WC Canyon","li.chen@ridgebrokers.com","desk@premfinco.com","teamlead@ridgebrokers.com","thread-00019","Finance_Agreement_00028_1.pdf;Invoice_00028_2.xlsx"
"msg-00029","2025-05-25T12:54:38Z","Hey team, need to premium decreased, update terms for Harborview Construction E&S. New figures: 18377 total (16812 + 1281 + 134 + 150). Down 25%, 12 pays, MEP 25%. Need updated FA with new signature blocks. Appreciate it, Elena Garcia","Updated finance - E&S Harborview","elena.garcia@ridgebrokers.com","underwriting@premfinco.com","service@ridgebrokers.com;accounting@ridgebrokers.com","thread-00020","Audit_00029_1.docx;RTG_Report_00029_2.pdf"
"msg-00030","2025-05-25T14:20:13Z","Hey team, numbers changed on Copperline Foods E&S. audit credit applied, total now 91486. Premium 84228, taxes 6383, fees 875. Down payment 20%, 12 pays. MEP 10%. Need corrected PFA. thx!, Sophie Miller","FA revision - E&S Copperline","sophie.miller@ridgebrokers.com","renewals@premfinco.com","service@ridgebrokers.com;marketing@ridgebrokers.com;compliance@ridgebrokers.com","thread-00021",""
"msg-00031","2025-05-25T14:39:27Z","Hey, need FA terms on Summit Storage. E&S policy, eff 2025-11-03, RiverPeak. Premium breakdown: 260911 base, 9657 taxes, 47 carrier fee, 100 broker fee. Total 270715. 15% down = 40607, finance 230108 over 10 pays. MEP 25%. Thanks much","Need FA - E&S Summit","celine.ford@ridgebrokers.com","underwriting@premfinco.com;renewals@premfinco.com","teamlead@ridgebrokers.com","thread-00022","UW_Notes_00031_1.xls;BA_Quote_00031_2.xls"
"msg-00032","2025-05-25T15:00:21Z","Hi team following up on Zenith Bio Labs CA FA didn't come through. Effective 2026-03-12, Crestview Casualty. Need for underwriting file. Best, Li Chen","Need binder - CA Zenith","li.chen@ridgebrokers.com","desk@premfinco.com","accounting@ridgebrokers.com;operations@ridgebrokers.com;teamlead@ridgebrokers.com","thread-00023","CA_Schedule_00032_1.xlsx"
"msg-00033","2025-05-25T15:01:50Z","Hello team - can you work up the numbers?. Bright Shore Marine GL effective 2026-04-08. Numbers: 107441 prem + 5396 tax + 363 fee + 350 broker = 113550. Down 35%, 10 installments, MEP 25%. Best","Need finance terms - GL Bright","taylor.martinez@ridgebrokers.com","quotes@premfinco.com","marketing@ridgebrokers.com","thread-00023","InstallmentPlan_00033_1.pdf;MEP_Addendum_00033_2.xls"
"msg-00034","2025-05-25T15:26:23Z","Hi finance team - renewal for Monarch Retail Holdings BOP. Effective 2025-10-28, Urban Axis. Expiring terms: 18% down, 6 pays. New total 285007 (prem 267367, tax 17359, fees 281). MEP 30%. Need updated FA. Best","Renewal quote - BOP Monarch","taylor.martinez@ridgebrokers.com","desk@premfinco.com","compliance@ridgebrokers.com","thread-00024",""
"msg-00035","2025-05-25T15:50:13Z","Hi there, Frontier Energy Services WC renewal. Effective 2025-10-28. Beacon Lloyds. Expiring: 10% down, 12 pays. Renewal: 291733 prem, 18961 tax, 345 fee, 150 broker = 311189. MEP 10%. Need renewal FA. Thanks","Renewal terms - WC Frontier","keisha.brown@ridgebrokers.com","ops@premfinco.com","accounting@ridgebrokers.com;compliance@ridgebrokers.com","thread-00024","Endorsement_00035_1.xlsx"
"msg-00036","2025-05-25T16:42:45Z","Hi finance team, need FA terms on Silver Thread Textiles. E&S policy, eff 2025-11-08, Trident Commercial. Premium breakdown: 110018 base, 3730 taxes, 334 carrier fee, 200 broker fee. Total 114282. 30% down = 34284, finance 79998 over 10 pays. MEP 30%. Thank you","FA quote needed - E&S Silver","oscar.vasquez@ridgebrokers.com","renewals@premfinco.com;underwriting@premfinco.com;quotes@premfinco.com","compliance@ridgebrokers.com","thread-00024","Invoice_00036_1.xlsx"
"msg-00037","2025-05-25T19:47:41Z","Hi there, Golden Basin Farms PROP - is this NTU or can we finance?. Effective 2026-03-03. Beacon Lloyds. Total 205908 (198540 + 6831 + 287 + 250). 30% down, 6 pays, MEP 10%. Grateful, Sophie Miller","FA request - PROP Golden","sophie.miller@ridgebrokers.com","desk@premfinco.com","compliance@ridgebrokers.com","thread-00025","Finance_Agreement_00037_1.pdf;TCF_Doc_00037_2.xlsx"
"msg-00038","2025-05-25T22:28:00Z","Good afternoon, need to endorsement added, need new terms for Frontier Energy Services CA. New figures: 68742 total (67057 + 1055 + 230 + 400). Down 30%, 12 pays, MEP 35%. Need updated FA with new signature blocks. thx, Elena Garcia","Corrected FA - CA Frontier","elena.garcia@ridgebrokers.com","ops@premfinco.com;quotes@premfinco.com;desk@premfinco.com","compliance@ridgebrokers.com;teamlead@ridgebrokers.com;operations@ridgebrokers.com","thread-00026","Invoice_00038_1.xlsx"
"msg-00039","2025-05-25T23:30:41Z"," Replying to your earlier email. Hi there - can you check if this is financeable?. Copperline Foods PROP effective 2026-02-26. Numbers: 208109 prem + 10906 tax + 240 fee + 200 broker = 219455. Down 35%, 7 installments, MEP 35%. ","Need FA - PROP Copperline","chris.anderson@ridgebrokers.com","quotes@premfinco.com;service@premfinco.com","operations@ridgebrokers.com","thread-00027","Reinstatement_00039_1.xlsx;Invoice_00039_2.xls"
"msg-00040","2025-05-26T02:34:58Z","Hi - can you work up the numbers?. Silver Thread Textiles E&S effective 2025-10-11. Numbers: 39295 prem + 2327 tax + 375 fee + 350 broker = 42347. Down 18%, 7 installments, MEP 25%. Thanks in advance","Finance options - E&S Silver","emilia.ryan@ridgebrokers.com","service@premfinco.com","service@ridgebrokers.com","thread-00028","GL_Quote_00040_1.xlsx;Reinstatement_00040_2.pdf"
"msg-00041","2025-05-26T04:32:29Z","Good morning, expiring soon, need FA renewal. Horizon Media Group WC, Linden Excess, effective 2026-03-17. Expiring FA had 10 pays at 18% down. New premium 304208, taxes 13646, fees 216, broker 100. Total 318170, MEP 30%. Can you mirror terms? Grateful, Ella Roberts or something","Renewal terms - WC Horizon","ella.roberts@ridgebrokers.com","ops@premfinco.com","compliance@ridgebrokers.com","thread-00029","Corrections_00041_1.docx;RT_Calc_00041_2.pdf;Invoice_00041_3.xls"
"msg-00042","2025-05-26T08:13:18Z","Hi there, Metro Parcel Systems GL renewal. Effective 2025-11-02. Linden Excess. Expiring: 18% down, 10 pays. Renewal: 58873 prem, 2479 tax, 287 fee, 400 broker = 62039. MEP 10%. Need renewal FA. ","Expiring FA - GL Metro","elena.garcia@ridgebrokers.com","service@premfinco.com;renewals@premfinco.com;quotes@premfinco.com","operations@ridgebrokers.com","thread-00030","GL_Quote_00042_1.xlsx"
"msg-00043","2025-05-26T15:09:46Z"," Client wants to move forward, Hello PF team, can you check if Silver Thread Textiles GL is financeable? Effective 2025-09-04, carrier Southport Re. Total premium 364905 (prem 340352, tax 24109, fees 444). Looking for 10% down, 11 pays. MEP 25%. TY, Jordan Parks","Need FA - GL Silver","jordan.parks@ridgebrokers.com","ops@premfinco.com;service@premfinco.com","service@ridgebrokers.com","thread-00030","TCF_Doc_00043_1.xls;RTG_Report_00043_2.xlsx;Invoice_00043_3.xlsx"
"msg-00044","2025-05-26T15:14:44Z",", can you check if Coastal Research Partners WC is financeable? Effective 2026-01-25, carrier Ironcrest Specialty. Total premium 246884 (prem 234389, tax 11694, fees 801). Looking for 15% down, 12 pays. MEP 10%. thx!, Ella Roberts","Finance quote - WC Coastal","ella.roberts@ridgebrokers.com","service@premfinco.com","marketing@ridgebrokers.com","thread-00031","Binder_00044_1.pdf;Commission_Statement_00044_2.pdf;Finance_Agreement_00044_3.docx"
"msg-00045","2025-05-26T17:06:15Z"," Replying to your earlier email. Hi -, Forge Industrial CA - need financing structure. Effective 2025-11-17. NorthStar Casualty. Total 359879 (349263 + 10388 + 78 + 150). 25% down, 7 pays, MEP 35%. Appreciate your help, Celine Ford","FA quote needed - CA Forge","celine.ford@ridgebrokers.com","renewals@premfinco.com;desk@premfinco.com;service@premfinco.com","marketing@ridgebrokers.com","thread-00031","TCF_Doc_00045_1.pdf"
"msg-00046","2025-05-26T20:25:01Z","Hey, can you check if Bright Shore Marine GL is financeable? Effective 2025-07-23, carrier Atlantic Specialty. Total premium 293588 (prem 282365, tax 10741, fees 482). Looking for 35% down, 12 pays. MEP 15%. Regards, Maria Santos","Need FA - GL Bright","maria.santos@ridgebrokers.com","ops@premfinco.com;desk@premfinco.com;service@premfinco.com","compliance@ridgebrokers.com","thread-00031","Finance_Agreement_00046_1.xls"
"msg-00047","2025-05-27T01:28:19Z","Hey, renewal submission, can u price?. Phoenix Retail E&S, Summit Re, effective 2025-08-09. Expiring FA had 6 pays at 18% down. New premium 189537, taxes 14735, fees 244, broker 150. Total 204666, MEP 30%. Can you mirror terms? TY, Maria Santos probably","Renewal finance - E&S Phoenix","maria.santos@ridgebrokers.com","renewals@premfinco.com","operations@ridgebrokers.com","thread-00032","Worksheet_00047_1.pdf;Endorsement_00047_2.xls"
"msg-00048","2025-05-27T08:03:17Z","Good afternoon - Frontier Energy Services WC audit credit, need updated FA. New total 86031 (79340 + 5810 + 481 + 400). 35% down, 11 installments, MEP 25%. Please update the FA. Appreciate your help","Corrected FA - WC Frontier","taylor.martinez@ridgebrokers.com","desk@premfinco.com","marketing@ridgebrokers.com","thread-00033","RT_Calc_00048_1.pdf"
"msg-00049","2025-05-27T08:28:34Z"," The UW said yesterday that Hi there - need financing breakdown. Phoenix Retail CA effective 2025-12-24. Numbers: 82028 prem + 5449 tax + 259 fee + 200 broker = 87936. Down 10%, 11 installments, MEP 20%. Regards","Need finance terms - CA Phoenix","taylor.martinez@ridgebrokers.com","quotes@premfinco.com;underwriting@premfinco.com","teamlead@ridgebrokers.com","thread-00034","Commission_Statement_00049_1.xls;LossRuns_00049_2.docx;Corrections_00049_3.docx"
"msg-00050","2025-05-27T08:49:14Z"," Replying to your earlier email. Hello PF team, need FA terms on Summit Storage. WC policy, eff 2026-01-15, NorthStar Casualty. Premium breakdown: 319839 base, 7824 taxes, 63 carrier fee, 100 broker fee. Total 327826. 30% down = 98347, finance 229479 over 6 pays. MEP 20%. Client asking if we can reduce down payment to 15% if possible. TY","Finance quote - WC Summit","raj.kumar@ridgebrokers.com","quotes@premfinco.com;underwriting@premfinco.com;renewals@premfinco.com","service@ridgebrokers.com","thread-00034","TCF_Doc_00050_1.xlsx;BA_Quote_00050_2.xlsx"
"msg-00051","2025-05-27T13:52:11Z","Hi finance team - Golden Basin Farms BOP coverage added, need revised finance. New total 258366 (240613 + 17099 + 404 + 250). 15% down, 11 installments, MEP 10%. Please update the FA. Much appreciated","Corrected FA - BOP Golden","andrew.lang@ridgebrokers.com","service@premfinco.com","operations@ridgebrokers.com;service@ridgebrokers.com","thread-00034","DownPaymentReceipt_00051_1.docx;GL_Quote_00051_2.docx"
"msg-00052","2025-05-27T14:16:21Z","Hey, Valley Tech Solutions E&S - can you check if this is financeable?. Effective 2025-08-23. Pacific Rim. Total 222132 (214428 + 7349 + 155 + 200). 25% down, 9 pays, MEP 25%. Best, Celine Ford","Finance options - E&S Valley","celine.ford@ridgebrokers.com","desk@premfinco.com;underwriting@premfinco.com","service@ridgebrokers.com;compliance@ridgebrokers.com;marketing@ridgebrokers.com","thread-00034","Audit_00052_1.xls"
"msg-00053","2025-05-27T23:13:20Z","Hello PF team, Silver Thread Textiles E&S renewal. Effective 2025-07-27. Granite Harbor. Expiring: 35% down, 8 pays. Renewal: 82256 prem, 4032 tax, 278 fee, 150 broker = 86716. MEP 30%. Need renewal FA. Best regards","Renewal quote - E&S Silver","sophie.miller@ridgebrokers.com","underwriting@premfinco.com","operations@ridgebrokers.com;accounting@ridgebrokers.com;compliance@ridgebrokers.com","thread-00035","Worksheet_00053_1.docx;CA_Schedule_00053_2.pdf"
"msg-00054","2025-05-28T05:46:05Z","Good morning, can u quote teh finance side? for Horizon Media Group E&S. Effective 2025-08-19 with RiverPeak. Premium 113680, taxes 6605, fees 477, broker fee 300. Total 121062. Client wants 30% down, 9 pays. MEP 35%. Grateful, Andrew Lang","Need finance terms - E&S Horizon","andrew.lang@ridgebrokers.com","desk@premfinco.com","service@ridgebrokers.com","thread-00035","Worksheet_00054_1.pdf;DeckPages_00054_2.docx"
"msg-00055","2025-05-28T06:38:14Z","Good afternoon, Copperline Foods E&S - can you check if this is financeable?. Effective 2025-09-06. Atlantic Specialty. Total 307561 (299090 + 7905 + 266 + 300). 18% down, 8 pays, MEP 20%. Attached the submission package. Appreciate it, Sophie Miller worksheet attached.","FA quote needed - E&S Copperline","sophie.miller@ridgebrokers.com","desk@premfinco.com;quotes@premfinco.com;service@premfinco.com","compliance@ridgebrokers.com;service@ridgebrokers.com","thread-00036","Worksheet_00055_1.xls;Reinstatement_00055_2.xls;Commission_Statement_00055_3.docx"
"msg-00056","2025-05-28T09:48:44Z","Hi finance team, expiring soon, need FA renewal. Titan Industries WC, RiverPeak, effective 2025-08-16. Expiring FA had 9 pays at 35% down. New premium 320007, taxes 24647, fees 304, broker 350. Total 345308, MEP 25%. Can you mirror terms? , Maria Santos ba attached.","Expiring FA - WC Titan","maria.santos@ridgebrokers.com","quotes@premfinco.com","service@ridgebrokers.com;accounting@ridgebrokers.com","thread-00037","BA_Quote_00056_1.xlsx;UW_Notes_00056_2.pdf"
"msg-00057","2025-05-28T10:08:32Z"," Re: the request from last week, Hello team, Prairie Medical Group GL - audit credit, need updated FA. Effective 2025-10-14. Revised total 116927 (prem 109519, tax 6928, carrier 330, broker 150). 30% down, 6 installments. MEP 35%. Please revise the finance agreement. Thanks","FA revision - GL Prairie","taylor.martinez@ridgebrokers.com","quotes@premfinco.com;desk@premfinco.com","compliance@ridgebrokers.com","thread-00038",""
"msg-00058","2025-05-28T11:37:27Z","Hello team, policy renewing 2026-01-31. Bright Shore Marine BOP with Southport Re. Expiring FA structure: 35% down, 12 installments. Renewal premium 310473, total 329883 with taxes/fees. MEP 20%. policy renewing, need finance options. UW said rates might change, so numbers could shift. Thanks in advance, Jordan Parks probably","Renewal FA - BOP Bright","jordan.parks@ridgebrokers.com","underwriting@premfinco.com;desk@premfinco.com;renewals@premfinco.com","marketing@ridgebrokers.com","thread-00038","Commission_Statement_00058_1.xls;Binder_00058_2.docx"
"msg-00059","2025-05-28T18:24:51Z","Afternoon, need FA terms on Zenith Bio Labs. BOP policy, eff 2025-09-19, Southport Re. Premium breakdown: 155239 base, 10791 taxes, 493 carrier fee, 100 broker fee. Total 166623. 30% down = 49986, finance 116637 over 11 pays. MEP 20%. Thanks!","FA request - BOP Zenith","taylor.martinez@ridgebrokers.com","desk@premfinco.com;underwriting@premfinco.com","compliance@ridgebrokers.com;marketing@ridgebrokers.com","thread-00038","Invoice_00059_1.xls"
"msg-00060","2025-05-28T20:32:01Z","Hello - Nexus Logistics GL policy rescinded. Original FA: 114563 financed, 25% down. Need RT calc. Much appreciated","RT calculation - GL Nexus","emilia.ryan@ridgebrokers.com","desk@premfinco.com","accounting@ridgebrokers.com;marketing@ridgebrokers.com;compliance@ridgebrokers.com","thread-00038","LossRuns_00060_1.docx;MEP_Addendum_00060_2.docx;Binder_00060_3.xls"
